poster_id,tracking_code,venue,area,status,date_placed,photo_received,complimentary_ad_status,notes
01,poster_01,Unity Cafe,,live,,,,
02,poster_02,Cafe on the Lane,,live,,,,
03,poster_03,Kids World Kindergarten,,live,,,,
04,poster_04,Beauty Salon Gatley,Gatley,live,,,,
05,poster_05,The Palm Cafe,,live,,,,
06,poster_06,Armenique Cafe,,live,,,,
07,poster_07,Honey Bear Kindergarten,,live,,,,
08,poster_08,Brewch Cafe,,live,,,,
09,poster_09,Stockroom display board,Stockport,live,2026-07-28,,,One of four separately tracked posters at this location
10,poster_10,Meechai Take Away,,live,,,,
11,poster_11,Stockroom display board,Stockport,live,2026-07-28,,,One of four separately tracked posters at this location
12,poster_12,Heald Green Library,Heald Green,live,,,,
13,poster_13,Heald Green public notice board,Heald Green,live,,,,
14,poster_14,,,unused,,,,
15,poster_15,Stockroom display board,Stockport,live,2026-07-28,,,One of four separately tracked posters at this location
16,poster_16,Stockroom display board,Stockport,live,2026-07-28,,,One of four separately tracked posters at this location
17,poster_17,Make Good,Cheadle Heath,live,2026-07-28,,,User-reported placement
18,poster_18,Noticeboard in Cheadle,Cheadle,live,2026-07-28,,,Exact noticeboard location not yet recorded
19,poster_19,,,unused,,,,
20,poster_20,,,unused,,,,
21,poster_21,,,unused,,,,
22,poster_22,,,unused,,,,
23,poster_23,,,unused,,,,
24,poster_24,,,unused,,,,
25,poster_25,,,unused,,,,
